2. Giỏ hàng,1,56,56,56,56,56,56,56,0.00%,17.85714,2.51,48.78
1. Người dùng tìm kiếm hàng hóa,1,109,109,109,109,109,109,109,0.00%,9.17431,98.18,3.06
Đơn hàng,1,138,138,138,138,138,138,138,0.00%,7.24638,2.34,5.93
DangKyKH Request,1,279,279,279,279,279,279,279,0.00%,3.58423,0.62,1.69
DangKyNV Request,2,21,7,36,36,36,7,36,100.00%,45.45455,19.66,21.35
DangNhap Admin,1,588,588,588,588,588,588,588,0.00%,1.70068,0.61,0.31
DangNhap KhachHang,1,608,608,608,608,608,608,608,0.00%,1.64474,0.72,0.33
TOTAL,8,227,109,588,608,608,7,608,25.00%,6.65557,10.81,4.72
