timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764782577241,402,HTTP Request-1,200,OK,Test Youtube 1-43,text,true,,715512,118,1,1,https://www.youtube.com/,204,0,88
1764782578301,501,HTTP Request,200,OK,Test Youtube 1-44,text,true,,715669,232,1,1,https://www.youtube.com/,125,0,76
1764782578301,125,HTTP Request-0,301,Moved Permanently,Test Youtube 1-44,text,true,,2107,114,1,1,https://youtube.com/,125,0,76
1764782578426,376,HTTP Request-1,200,OK,Test Youtube 1-44,text,true,,713562,118,1,1,https://www.youtube.com/,193,0,79
1764782579512,510,HTTP Request,200,OK,Test Youtube 1-45,text,true,,714159,232,1,1,https://www.youtube.com/,124,0,79
1764782579512,124,HTTP Request-0,301,Moved Permanently,Test Youtube 1-45,text,true,,2137,114,1,1,https://youtube.com/,124,0,79
1764782579637,385,HTTP Request-1,200,OK,Test Youtube 1-45,text,true,,712022,118,1,1,https://www.youtube.com/,195,0,74
1764782580703,638,HTTP Request,200,OK,Test Youtube 1-46,text,true,,711747,232,1,1,https://www.youtube.com/,154,0,93
1764782580703,154,HTTP Request-0,301,Moved Permanently,Test Youtube 1-46,text,true,,2107,114,1,1,https://youtube.com/,154,0,93
1764782580857,484,HTTP Request-1,200,OK,Test Youtube 1-46,text,true,,709640,118,1,1,https://www.youtube.com/,233,0,103
1764782581902,590,HTTP Request,200,OK,Test Youtube 1-47,text,true,,727730,232,1,1,https://www.youtube.com/,124,0,65
1764782581902,124,HTTP Request-0,301,Moved Permanently,Test Youtube 1-47,text,true,,2137,114,1,1,https://youtube.com/,124,0,65
1764782582026,466,HTTP Request-1,200,OK,Test Youtube 1-47,text,true,,725593,118,1,1,https://www.youtube.com/,212,0,88
1764782583110,584,HTTP Request,200,OK,Test Youtube 1-48,text,true,,712135,232,1,1,https://www.youtube.com/,110,0,65
1764782583110,110,HTTP Request-0,301,Moved Permanently,Test Youtube 1-48,text,true,,2137,114,1,1,https://youtube.com/,110,0,65
1764782583220,474,HTTP Request-1,200,OK,Test Youtube 1-48,text,true,,709998,118,1,1,https://www.youtube.com/,214,0,93
1764782584310,493,HTTP Request,200,OK,Test Youtube 1-49,text,true,,713607,232,1,1,https://www.youtube.com/,122,0,70
1764782584310,122,HTTP Request-0,301,Moved Permanently,Test Youtube 1-49,text,true,,2137,114,1,1,https://youtube.com/,122,0,70
1764782584432,371,HTTP Request-1,200,OK,Test Youtube 1-49,text,true,,711470,118,1,1,https://www.youtube.com/,185,0,71
1764782585507,637,HTTP Request,200,OK,Test Youtube 1-50,text,true,,723302,232,1,1,https://www.youtube.com/,151,0,98
1764782585507,151,HTTP Request-0,301,Moved Permanently,Test Youtube 1-50,text,true,,1561,114,1,1,https://youtube.com/,151,0,98
1764782585658,486,HTTP Request-1,200,OK,Test Youtube 1-50,text,true,,721741,118,1,1,https://www.youtube.com/,220,0,91
